Data,Interwencje,Zatrzymani na gorącym uczynku,Zatrzymani poszukiwani,Kierujący po spożyciu alkoholu,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach
2025-08-23,15419,579,191,330,63,2,84
2025-08-22,16515,486,326,261,63,2,79
2025-08-21,16439,519,369,229,81,6,87
2025-08-20,16418,588,385,276,69,1,78
2025-08-19,16235,526,353,226,67,6,74
2025-08-18,16482,719,256,589,66,8,76
2025-08-17,16179,616,187,406,77,8,100
2025-08-16,19030,606,186,404,84,5,109
2025-08-15,18001,621,252,406,88,21,106
2025-08-14,19330,508,330,234,111,7,116
2025-08-13,17151,520,366,241,89,4,96
2025-08-12,16906,521,417,240,90,3,107
2025-08-11,16667,494,298,260,80,8,101
2025-08-10,15964,650,192,369,55,3,68
2025-08-09,18858,681,221,398,79,7,84
2025-08-08,17525,565,328,261,79,7,90
2025-08-07,16071,561,361,250,67,3,77
2025-08-06,15254,496,321,229,57,0,61
2025-08-05,15374,459,340,201,74,6,78
2025-08-04,15597,570,312,342,45,1,56
2025-08-03,15008,609,215,335,64,3,88
2025-08-02,17935,676,251,393,80,6,88
2025-08-01,16677,537,348,251,70,3,83
2025-07-31,16414,595,402,273,67,2,83
2025-07-30,16561,564,486,266,69,2,83
2025-07-29,16385,527,571,233,60,4,65
2025-07-28,15698,499,378,276,73,6,86
2025-07-27,16037,539,215,324,64,9,79
2025-07-26,18388,694,241,434,68,3,77
2025-07-25,18421,585,370,274,78,4,90
2025-07-24,17014,621,482,284,71,5,72
2025-07-23,16544,602,503,306,77,1,93
2025-07-22,16659,552,482,259,71,2,88
2025-07-21,17325,749,341,470,91,7,100
2025-07-20,16633,544,233,311,67,4,73
2025-07-19,18884,587,249,364,87,7,97
2025-07-18,17659,526,379,315,66,3,77
2025-07-17,16039,575,419,245,63,12,72
2025-07-16,16121,608,460,278,56,5,62
2025-07-15,16693,590,484,271,47,3,56
2025-07-14,16961,641,374,368,57,2,64
2025-07-13,15231,630,235,362,58,5,78
2025-07-12,17171,696,271,365,60,2,77
2025-07-11,17020,590,396,281,59,8,71
2025-07-10,15884,552,473,266,47,4,62
2025-07-09,15161,553,439,233,65,2,78
2025-07-08,15679,549,453,274,68,3,76
2025-07-07,16819,640,356,368,62,1,90
2025-07-06,17000,582,226,350,70,6,92
2025-07-05,18356,730,257,444,76,5,97
2025-07-04,17782,578,442,276,83,6,99
2025-07-03,17446,622,484,301,90,3,107
2025-07-02,17530,558,453,274,84,8,93
2025-07-01,17113,558,414,279,76,4,92
2025-06-30,16932,546,353,363,71,5,74
2025-06-29,17157,621,230,344,63,6,79
2025-06-28,19015,583,257,354,66,1,76
2025-06-27,18575,579,348,320,89,5,113
2025-06-26,17400,569,416,295,86,8,95
2025-06-25,16351,520,413,228,81,4,86
2025-06-24,16002,445,354,189,65,1,72
2025-06-23,17094,816,300,675,77,3,99
2025-06-22,15767,628,212,414,62,4,85
2025-06-21,17237,577,216,330,68,6,75
2025-06-20,17430,647,332,353,68,3,79
2025-06-19,15023,572,291,323,65,5,78
2025-06-18,17983,602,371,295,77,3,91
2025-06-17,16560,515,397,232,69,1,81
2025-06-16,15999,611,371,342,72,5,83
2025-06-15,15997,535,233,308,94,8,121
2025-06-14,17739,593,241,326,83,3,94
2025-06-13,17711,496,399,215,69,1,90
2025-06-12,16286,528,399,233,64,6,69
2025-06-11,14847,508,374,202,54,4,69
2025-06-10,15284,493,849,205,61,4,70
2025-06-09,14852,493,910,243,45,0,56
2025-06-08,13512,521,163,298,66,8,86
2025-06-07,17108,581,201,338,74,6,88
2025-06-06,18579,586,356,285,85,7,90
2025-06-05,17048,562,406,254,78,2,84
2025-06-04,17127,554,422,243,91,3,97
2025-06-03,16683,531,407,226,57,2,61
2025-06-02,16668,558,396,294,68,4,72
2025-06-01,18083,633,315,391,70,4,78
2025-05-31,18363,588,262,340,60,7,71
2025-05-30,17435,497,387,243,78,8,72
2025-05-29,15531,535,475,210,63,2,74
2025-05-28,15774,532,480,207,69,2,73
2025-05-27,16361,551,478,198,79,6,89
2025-05-26,15704,567,405,349,68,4,84
2025-05-25,14363,548,216,288,58,3,65
2025-05-24,16838,540,238,264,63,4,69
2025-05-23,16999,517,437,220,65,4,70
2025-05-22,16139,574,487,251,61,4,65
2025-05-21,16407,577,420,221,66,6,72
2025-05-20,16262,523,423,203,66,5,78
2025-05-19,14882,492,344,233,61,2,69
2025-05-18,14256,576,261,316,28,1,44
2025-05-17,15515,554,263,293,39,2,46
2025-05-16,15799,533,382,237,60,7,59
2025-05-15,15400,490,381,195,55,9,65
2025-05-14,15443,553,394,147,62,2,70
2025-05-13,15284,518,444,208,56,3,58
2025-05-12,15899,633,374,360,56,6,58
2025-05-11,13436,528,211,261,44,3,51
2025-05-10,15984,534,226,285,54,2,59
2025-05-09,16596,566,407,231,58,8,66
2025-05-08,15359,487,439,182,59,4,63
2025-05-07,14965,498,416,217,60,5,68
2025-05-06,14804,495,392,175,51,2,61
2025-05-05,14858,632,299,421,57,3,62
2025-05-04,12876,531,197,312,39,4,51
2025-05-03,15383,609,199,366,65,4,83
2025-05-02,17498,689,297,366,72,4,93
2025-05-01,15911,548,228,334,61,5,65
2025-04-30,17970,531,366,250,71,3,91
2025-04-29,15104,510,338,222,69,2,92
2025-04-28,15846,573,387,286,83,2,96
2025-04-27,13863,519,206,253,55,0,64
2025-04-26,16036,524,221,277,57,1,78
2025-04-25,16661,517,504,213,67,4,78
2025-04-24,16159,560,488,201,60,1,71
2025-04-23,16424,593,437,261,65,2,80
2025-04-22,17036,784,422,637,52,4,55
2025-04-21,14820,551,220,356,71,5,85
2025-04-20,14677,488,196,291,50,4,62
2025-04-19,17338,634,286,371,51,4,60
2025-04-18,20180,654,548,339,69,3,72
2025-04-17,19072,652,478,302,84,1,98
2025-04-16,18187,581,502,252,102,9,107
2025-04-15,16464,594,423,252,61,2,71
2025-04-14,17465,674,403,419,71,3,84
2025-04-13,16025,624,211,306,69,2,77
2025-04-12,17268,615,226,299,56,1,72
2025-04-11,16358,605,436,237,53,3,60
2025-04-10,15421,574,411,200,40,4,40
2025-04-09,15966,538,465,187,49,4,55
2025-04-08,15032,540,483,192,40,4,43
2025-04-07,14786,576,393,287,43,6,42
2025-04-06,11595,479,198,245,23,2,28
2025-04-05,15960,603,240,304,50,1,62
2025-04-04,18267,634,420,270,76,2,94
2025-04-03,16656,594,470,260,78,6,82
2025-04-02,15894,581,468,251,53,2,56
2025-04-01,15362,557,481,194,46,1,56
2025-03-31,15040,571,389,282,39,1,54
2025-03-30,12916,468,200,310,37,3,50
2025-03-29,17056,601,271,313,48,3,54
2025-03-28,17548,554,473,225,51,0,67
2025-03-27,15587,611,464,260,44,2,60
